ID1,ID2,EdgeType,Score,Annotation
27,28,MS1 annotation,2,[M+?]+ [M-H2O+?]+ dm/z=18.01127
56,57,MS1 annotation,2,[M-H2O+?]+ [M+?]+ dm/z=18.01115
67,68,MS1 annotation,2,[M+?]+ [M-H2O+?]+ dm/z=18.00998
74,76,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98207
87,88,MS1 annotation,2,[M+?]+ [M-H2O+?]+ dm/z=18.01045
88,92,MS1 annotation,2,[2M+Na]+ [M-H2O+H]+ dm/z=354.18771
90,92,MS1 annotation,3,[M+Na]+ [M-H2O+H]+ dm/z=39.99254
90,91,MS1 annotation,3,[M+H]+ [M-H2O+H]+ dm/z=18.01094
91,92,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.9816
95,96,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98237
98,99,MS1 annotation,2,[M+NH4]+ [M+Na]+ dm/z=4.95651
161,164,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.982
161,162,MS1 annotation,3,[M+NH4]+ [M+H]+ dm/z=17.02653
162,164,MS1 annotation,3,[M+Na]+ [M+NH4]+ dm/z=4.95547
168,170,MS1 annotation,3,[M+NH4]+ [M+Na]+ dm/z=4.95519
168,169,MS1 annotation,3,[M+H]+ [M+Na]+ dm/z=21.98175
169,170,MS1 annotation,3,[M+NH4]+ [M+H]+ dm/z=17.02657
190,192,MS1 annotation,3,[M+Na]+ [M+NH4]+ dm/z=4.95558
190,191,MS1 annotation,3,[M+H]+ [M+NH4]+ dm/z=17.02698
191,192,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98256
193,194,MS1 annotation,2,[M+NH4]+ [M+Na]+ dm/z=4.95553
216,217,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98206
237,238,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95627
240,241,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95535
257,258,MS1 annotation,3,[M+NH4]+ [M+H]+ dm/z=17.02643
257,259,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98183
258,259,MS1 annotation,3,[M+Na]+ [M+NH4]+ dm/z=4.9554
272,274,MS1 annotation,3,[M-H2O+NH4]+ [M+NH4]+ dm/z=18.01133
272,273,MS1 annotation,3,[M+Na]+ [M+NH4]+ dm/z=4.95536
273,274,MS1 annotation,3,[M-H2O+NH4]+ [M+Na]+ dm/z=22.96668
293,294,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98258
298,300,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95554
350,351,MS1 annotation,2,[M+NH4]+ [M+Na]+ dm/z=4.95591
367,370,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95594
382,383,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95545
397,398,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95544
407,408,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95562
421,422,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95566
436,437,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95546
450,451,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95557
472,473,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95552
485,486,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95553
499,500,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95607
512,513,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95599
522,523,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95574
524,525,MS1 annotation,2,[2M+Na]+ [M+H]+ dm/z=676.35804
540,541,MS1 annotation,2,[M+H]+ [2M+Na]+ dm/z=720.38423
573,574,MS1 annotation,2,[2M+Na]+ [M+H]+ dm/z=808.4378
647,649,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98254
650,651,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95524
655,659,MS1 annotation,2,[M+?]+ [M-H2O+?]+ dm/z=18.0106
659,660,MS1 annotation,2,[M+Na]+ [M-H2O+H]+ dm/z=39.99233
672,673,MS1 annotation,2,[M+Na]+ [M-H2O+H]+ dm/z=39.99197
689,692,MS1 annotation,2,[M+NH4]+ [M+Na]+ dm/z=4.95516
714,715,MS1 annotation,2,[M+NH4]+ [M+Na]+ dm/z=4.95451
716,717,MS1 annotation,2,[M+?]+ [M-H2O+?]+ dm/z=18.01119
742,744,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95558
874,875,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95218
876,877,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95639
889,890,MS1 annotation,2,[M+NH4]+ [M+Na]+ dm/z=4.95502
904,905,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95605
929,930,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98221
940,941,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95531
987,989,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.9589
990,991,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95449
